xml标签,英文标签,数据类型
ProductID,basic_product_id,int
SatelliteID,xml_satellite_id,string
ReceiveStationID,xml_receive_station_id,string
SensorID,xml_sensor_id,string
ProduceTime,xml_produce_time,datetime
Level,xml_level,string
ProductFormat,xml_product_format,string
SceneID,xml_scene_id,int
TaskType,xml_task_type,string
BandsCount,xml_bands_count,int
BandsID,xml_bands_id,string
ScenePath,xml_scene_path,int
SceneRow,xml_scene_row,int
SatPath,xml_sat_path,int
SatRow,xml_sat_row,int
OrbitNumber,xml_orbit_number,int
POrbitID,xml_porbit_id,int
OrbitType,xml_orbit_type,string
AttType,xml_att_type,string
RollSatelliteAngle,xml_roll_satellite_angle,decimal
PitchSatelliteAngle,xml_pitch_satellite_angle,decimal
YawSatelliteAngle,xml_yaw_satellite_angle,decimal
SolarAzimuth,xml_solar_azimuth,decimal
SolarZenith,xml_solar_zenith,decimal
SatelliteAzimuth,xml_satellite_azimuth,decimal
SatelliteZenith,xml_satellite_zenith,decimal
StartTime,xml_start_time,datetime
EndTime,xml_end_time,datetime
LinesInPixels,xml_lines_in_pixels,int
SamplesInPixels,xml_samples_in_pixels,int
CloudPercent,xml_cloud_percent,int
GainMode,xml_gain_mode,string
IntegrationTime,xml_integration_time,string
CalibrationParam,xml_calibration_param,string
CalibrationParamVersion,xml_calibration_param_version,string
AngleScaleFactor,xml_angle_scale_factor,decimal
ResamplingKernel,xml_resampling_kernel,string
Denoise,xml_denoise,string
HeightMode,xml_height_mode,string
EphemerisData,xml_ephemeris_data,string
AttitudeData,xml_attitude_data,string
CenterLatitude,xml_center_latitude,decimal
CenterLongitude,xml_center_longitude,decimal
TopLeftLatitude,xml_top_left_latitude,decimal
TopLeftLongitude,xml_top_left_longitude,decimal
TopRightLatitude,xml_top_right_latitude,decimal
TopRightLongitude,xml_top_right_longitude,decimal
BottomRightLatitude,xml_bottom_right_latitude,decimal
BottomRightLongitude,xml_bottom_right_longitude,decimal
BottomLeftLatitude,xml_bottom_left_latitude,decimal
BottomLeftLongitude,xml_bottom_left_longitude,decimal
SoftwareVersion,xml_software_version,string
ImageGSD,xml_image_gsd,decimal
